x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.4,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,0
0.5,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.5,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.237952623
0.6,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.454315674
0.6,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.6,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.7,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.394766669
0.7,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.491509862
0.7,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.609965597
0.7,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.757325548
0.7,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.895732582
0.7,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.940150816
0.7,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.541791649
0.7,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.7,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.8,0.1,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.684901541
0.8,0.2,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.773673756
0.8,0.3,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.905316816
0.8,0.4,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-1.050543348
0.8,0.5,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-1.205187034
0.8,0.6,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-1.324258275
0.8,0.7,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-1.261947755
0.8,0.8,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.766550316
0.8,0.9,1,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.354769105
